permutation,outer_fold,aria,role,sources,segments,movable_rows,singleton_rows,movable_fraction,expected_fixed_rows_uniform_within_source,expected_fixed_fraction_uniform_within_source
3,4,Vesti la giubba,dev,42,632,632,0,1.0,42,0.06645569620253164
3,4,Vesti la giubba,test,21,262,262,0,1.0,21,0.08015267175572519
3,5,La donna e mobile,train,165,2566,2566,0,1.0,165,0.06430241621200312
3,5,La donna e mobile,dev,42,665,665,0,1.0,42,0.06315789473684211
3,5,La donna e mobile,test,20,225,225,0,1.0,20,0.08888888888888889
4,0,Che gelida manina,train,144,2054,2054,0,1.0,144,0.07010710808179163
4,0,Che gelida manina,dev,36,553,553,0,1.0,36,0.0650994575045208
4,0,Che gelida manina,test,47,849,849,0,1.0,47,0.05535924617196702
4,1,E lucevan le stelle,train,164,2559,2559,0,1.0,164,0.06408753419304415
4,1,E lucevan le stelle,dev,41,614,614,0,1.0,41,0.06677524429967427
4,1,E lucevan le stelle,test,22,283,283,0,1.0,22,0.07773851590106007
4,2,Nessun dorma,train,140,2313,2313,0,1.0,140,0.06052745352356247
4,2,Nessun dorma,dev,35,537,537,0,1.0,35,0.06517690875232775
4,2,Nessun dorma,test,52,606,606,0,1.0,52,0.0858085808580858
4,3,Una furtiva lagrima,train,129,1789,1789,0,1.0,129,0.07210732252655115
4,3,Una furtiva lagrima,dev,33,436,436,0,1.0,33,0.07568807339449542
4,3,Una furtiva lagrima,test,65,1231,1231,0,1.0,65,0.05280259951259139
4,4,Vesti la giubba,train,164,2562,2562,0,1.0,164,0.06401249024199844
4,4,Vesti la giubba,dev,42,632,632,0,1.0,42,0.06645569620253164
4,4,Vesti la giubba,test,21,262,262,0,1.0,21,0.08015267175572519
4,5,La donna e mobile,train,165,2566,2566,0,1.0,165,0.06430241621200312
4,5,La donna e mobile,dev,42,665,665,0,1.0,42,0.06315789473684211
4,5,La donna e mobile,test,20,225,225,0,1.0,20,0.08888888888888889
5,0,Che gelida manina,train,144,2054,2054,0,1.0,144,0.07010710808179163
5,0,Che gelida manina,dev,36,553,553,0,1.0,36,0.0650994575045208
5,0,Che gelida manina,test,47,849,849,0,1.0,47,0.05535924617196702
5,1,E lucevan le stelle,train,164,2559,2559,0,1.0,164,0.06408753419304415
5,1,E lucevan le stelle,dev,41,614,614,0,1.0,41,0.06677524429967427
5,1,E lucevan le stelle,test,22,283,283,0,1.0,22,0.07773851590106007
5,2,Nessun dorma,train,140,2313,2313,0,1.0,140,0.06052745352356247
5,2,Nessun dorma,dev,35,537,537,0,1.0,35,0.06517690875232775
5,2,Nessun dorma,test,52,606,606,0,1.0,52,0.0858085808580858
5,3,Una furtiva lagrima,train,129,1789,1789,0,1.0,129,0.07210732252655115
5,3,Una furtiva lagrima,dev,33,436,436,0,1.0,33,0.07568807339449542
5,3,Una furtiva lagrima,test,65,1231,1231,0,1.0,65,0.05280259951259139
5,4,Vesti la giubba,train,164,2562,2562,0,1.0,164,0.06401249024199844
5,4,Vesti la giubba,dev,42,632,632,0,1.0,42,0.06645569620253164
5,4,Vesti la giubba,test,21,262,262,0,1.0,21,0.08015267175572519
5,5,La donna e mobile,train,165,2566,2566,0,1.0,165,0.06430241621200312
5,5,La donna e mobile,dev,42,665,665,0,1.0,42,0.06315789473684211
5,5,La donna e mobile,test,20,225,225,0,1.0,20,0.08888888888888889
6,0,Che gelida manina,train,144,2054,2054,0,1.0,144,0.07010710808179163
6,0,Che gelida manina,dev,36,553,553,0,1.0,36,0.0650994575045208
6,0,Che gelida manina,test,47,849,849,0,1.0,47,0.05535924617196702
6,1,E lucevan le stelle,train,164,2559,2559,0,1.0,164,0.06408753419304415
6,1,E lucevan le stelle,dev,41,614,614,0,1.0,41,0.06677524429967427
6,1,E lucevan le stelle,test,22,283,283,0,1.0,22,0.07773851590106007
6,2,Nessun dorma,train,140,2313,2313,0,1.0,140,0.06052745352356247
6,2,Nessun dorma,dev,35,537,537,0,1.0,35,0.06517690875232775
6,2,Nessun dorma,test,52,606,606,0,1.0,52,0.0858085808580858
6,3,Una furtiva lagrima,train,129,1789,1789,0,1.0,129,0.07210732252655115
6,3,Una furtiva lagrima,dev,33,436,436,0,1.0,33,0.07568807339449542
6,3,Una furtiva lagrima,test,65,1231,1231,0,1.0,65,0.05280259951259139
6,4,Vesti la giubba,train,164,2562,2562,0,1.0,164,0.06401249024199844
6,4,Vesti la giubba,dev,42,632,632,0,1.0,42,0.06645569620253164
6,4,Vesti la giubba,test,21,262,262,0,1.0,21,0.08015267175572519
6,5,La donna e mobile,train,165,2566,2566,0,1.0,165,0.06430241621200312
6,5,La donna e mobile,dev,42,665,665,0,1.0,42,0.06315789473684211
6,5,La donna e mobile,test,20,225,225,0,1.0,20,0.08888888888888889
7,0,Che gelida manina,train,144,2054,2054,0,1.0,144,0.07010710808179163
7,0,Che gelida manina,dev,36,553,553,0,1.0,36,0.0650994575045208
7,0,Che gelida manina,test,47,849,849,0,1.0,47,0.05535924617196702
7,1,E lucevan le stelle,train,164,2559,2559,0,1.0,164,0.06408753419304415
7,1,E lucevan le stelle,dev,41,614,614,0,1.0,41,0.06677524429967427
7,1,E lucevan le stelle,test,22,283,283,0,1.0,22,0.07773851590106007
7,2,Nessun dorma,train,140,2313,2313,0,1.0,140,0.06052745352356247
7,2,Nessun dorma,dev,35,537,537,0,1.0,35,0.06517690875232775
7,2,Nessun dorma,test,52,606,606,0,1.0,52,0.0858085808580858
7,3,Una furtiva lagrima,train,129,1789,1789,0,1.0,129,0.07210732252655115
7,3,Una furtiva lagrima,dev,33,436,436,0,1.0,33,0.07568807339449542
7,3,Una furtiva lagrima,test,65,1231,1231,0,1.0,65,0.05280259951259139
7,4,Vesti la giubba,train,164,2562,2562,0,1.0,164,0.06401249024199844
7,4,Vesti la giubba,dev,42,632,632,0,1.0,42,0.06645569620253164
7,4,Vesti la giubba,test,21,262,262,0,1.0,21,0.08015267175572519
7,5,La donna e mobile,train,165,2566,2566,0,1.0,165,0.06430241621200312
7,5,La donna e mobile,dev,42,665,665,0,1.0,42,0.06315789473684211
7,5,La donna e mobile,test,20,225,225,0,1.0,20,0.08888888888888889
8,0,Che gelida manina,train,144,2054,2054,0,1.0,144,0.07010710808179163
8,0,Che gelida manina,dev,36,553,553,0,1.0,36,0.0650994575045208
8,0,Che gelida manina,test,47,849,849,0,1.0,47,0.05535924617196702
8,1,E lucevan le stelle,train,164,2559,2559,0,1.0,164,0.06408753419304415
8,1,E lucevan le stelle,dev,41,614,614,0,1.0,41,0.06677524429967427
8,1,E lucevan le stelle,test,22,283,283,0,1.0,22,0.07773851590106007
8,2,Nessun dorma,train,140,2313,2313,0,1.0,140,0.06052745352356247
8,2,Nessun dorma,dev,35,537,537,0,1.0,35,0.06517690875232775
8,2,Nessun dorma,test,52,606,606,0,1.0,52,0.0858085808580858
8,3,Una furtiva lagrima,train,129,1789,1789,0,1.0,129,0.07210732252655115
8,3,Una furtiva lagrima,dev,33,436,436,0,1.0,33,0.07568807339449542
8,3,Una furtiva lagrima,test,65,1231,1231,0,1.0,65,0.05280259951259139
8,4,Vesti la giubba,train,164,2562,2562,0,1.0,164,0.06401249024199844
8,4,Vesti la giubba,dev,42,632,632,0,1.0,42,0.06645569620253164
8,4,Vesti la giubba,test,21,262,262,0,1.0,21,0.08015267175572519
8,5,La donna e mobile,train,165,2566,2566,0,1.0,165,0.06430241621200312
8,5,La donna e mobile,dev,42,665,665,0,1.0,42,0.06315789473684211
8,5,La donna e mobile,test,20,225,225,0,1.0,20,0.08888888888888889
9,0,Che gelida manina,train,144,2054,2054,0,1.0,144,0.07010710808179163
9,0,Che gelida manina,dev,36,553,553,0,1.0,36,0.0650994575045208
9,0,Che gelida manina,test,47,849,849,0,1.0,47,0.05535924617196702
9,1,E lucevan le stelle,train,164,2559,2559,0,1.0,164,0.06408753419304415
9,1,E lucevan le stelle,dev,41,614,614,0,1.0,41,0.06677524429967427
9,1,E lucevan le stelle,test,22,283,283,0,1.0,22,0.07773851590106007
9,2,Nessun dorma,train,140,2313,2313,0,1.0,140,0.06052745352356247
9,2,Nessun dorma,dev,35,537,537,0,1.0,35,0.06517690875232775
9,2,Nessun dorma,test,52,606,606,0,1.0,52,0.0858085808580858
9,3,Una furtiva lagrima,train,129,1789,1789,0,1.0,129,0.07210732252655115
9,3,Una furtiva lagrima,dev,33,436,436,0,1.0,33,0.07568807339449542
9,3,Una furtiva lagrima,test,65,1231,1231,0,1.0,65,0.05280259951259139
9,4,Vesti la giubba,train,164,2562,2562,0,1.0,164,0.06401249024199844
9,4,Vesti la giubba,dev,42,632,632,0,1.0,42,0.06645569620253164
9,4,Vesti la giubba,test,21,262,262,0,1.0,21,0.08015267175572519
9,5,La donna e mobile,train,165,2566,2566,0,1.0,165,0.06430241621200312
9,5,La donna e mobile,dev,42,665,665,0,1.0,42,0.06315789473684211
9,5,La donna e mobile,test,20,225,225,0,1.0,20,0.08888888888888889
10,0,Che gelida manina,train,144,2054,2054,0,1.0,144,0.07010710808179163
10,0,Che gelida manina,dev,36,553,553,0,1.0,36,0.0650994575045208
10,0,Che gelida manina,test,47,849,849,0,1.0,47,0.05535924617196702
10,1,E lucevan le stelle,train,164,2559,2559,0,1.0,164,0.06408753419304415
10,1,E lucevan le stelle,dev,41,614,614,0,1.0,41,0.06677524429967427
10,1,E lucevan le stelle,test,22,283,283,0,1.0,22,0.07773851590106007
10,2,Nessun dorma,train,140,2313,2313,0,1.0,140,0.06052745352356247
10,2,Nessun dorma,dev,35,537,537,0,1.0,35,0.06517690875232775
10,2,Nessun dorma,test,52,606,606,0,1.0,52,0.0858085808580858
10,3,Una furtiva lagrima,train,129,1789,1789,0,1.0,129,0.07210732252655115
10,3,Una furtiva lagrima,dev,33,436,436,0,1.0,33,0.07568807339449542
10,3,Una furtiva lagrima,test,65,1231,1231,0,1.0,65,0.05280259951259139
10,4,Vesti la giubba,train,164,2562,2562,0,1.0,164,0.06401249024199844
10,4,Vesti la giubba,dev,42,632,632,0,1.0,42,0.06645569620253164
10,4,Vesti la giubba,test,21,262,262,0,1.0,21,0.08015267175572519
10,5,La donna e mobile,train,165,2566,2566,0,1.0,165,0.06430241621200312
10,5,La donna e mobile,dev,42,665,665,0,1.0,42,0.06315789473684211
10,5,La donna e mobile,test,20,225,225,0,1.0,20,0.08888888888888889
11,0,Che gelida manina,train,144,2054,2054,0,1.0,144,0.07010710808179163
11,0,Che gelida manina,dev,36,553,553,0,1.0,36,0.0650994575045208
11,0,Che gelida manina,test,47,849,849,0,1.0,47,0.05535924617196702
11,1,E lucevan le stelle,train,164,2559,2559,0,1.0,164,0.06408753419304415
11,1,E lucevan le stelle,dev,41,614,614,0,1.0,41,0.06677524429967427
11,1,E lucevan le stelle,test,22,283,283,0,1.0,22,0.07773851590106007
11,2,Nessun dorma,train,140,2313,2313,0,1.0,140,0.06052745352356247
11,2,Nessun dorma,dev,35,537,537,0,1.0,35,0.06517690875232775
11,2,Nessun dorma,test,52,606,606,0,1.0,52,0.0858085808580858
11,3,Una furtiva lagrima,train,129,1789,1789,0,1.0,129,0.07210732252655115
11,3,Una furtiva lagrima,dev,33,436,436,0,1.0,33,0.07568807339449542
11,3,Una furtiva lagrima,test,65,1231,1231,0,1.0,65,0.05280259951259139
11,4,Vesti la giubba,train,164,2562,2562,0,1.0,164,0.06401249024199844
11,4,Vesti la giubba,dev,42,632,632,0,1.0,42,0.06645569620253164
11,4,Vesti la giubba,test,21,262,262,0,1.0,21,0.08015267175572519
11,5,La donna e mobile,train,165,2566,2566,0,1.0,165,0.06430241621200312
11,5,La donna e mobile,dev,42,665,665,0,1.0,42,0.06315789473684211
11,5,La donna e mobile,test,20,225,225,0,1.0,20,0.08888888888888889
12,0,Che gelida manina,train,144,2054,2054,0,1.0,144,0.07010710808179163
12,0,Che gelida manina,dev,36,553,553,0,1.0,36,0.0650994575045208
12,0,Che gelida manina,test,47,849,849,0,1.0,47,0.05535924617196702
12,1,E lucevan le stelle,train,164,2559,2559,0,1.0,164,0.06408753419304415
12,1,E lucevan le stelle,dev,41,614,614,0,1.0,41,0.06677524429967427
12,1,E lucevan le stelle,test,22,283,283,0,1.0,22,0.07773851590106007
12,2,Nessun dorma,train,140,2313,2313,0,1.0,140,0.06052745352356247
12,2,Nessun dorma,dev,35,537,537,0,1.0,35,0.06517690875232775
12,2,Nessun dorma,test,52,606,606,0,1.0,52,0.0858085808580858
12,3,Una furtiva lagrima,train,129,1789,1789,0,1.0,129,0.07210732252655115
12,3,Una furtiva lagrima,dev,33,436,436,0,1.0,33,0.07568807339449542
12,3,Una furtiva lagrima,test,65,1231,1231,0,1.0,65,0.05280259951259139
12,4,Vesti la giubba,train,164,2562,2562,0,1.0,164,0.06401249024199844
12,4,Vesti la giubba,dev,42,632,632,0,1.0,42,0.06645569620253164
12,4,Vesti la giubba,test,21,262,262,0,1.0,21,0.08015267175572519
12,5,La donna e mobile,train,165,2566,2566,0,1.0,165,0.06430241621200312
12,5,La donna e mobile,dev,42,665,665,0,1.0,42,0.06315789473684211
12,5,La donna e mobile,test,20,225,225,0,1.0,20,0.08888888888888889
13,0,Che gelida manina,train,144,2054,2054,0,1.0,144,0.07010710808179163
13,0,Che gelida manina,dev,36,553,553,0,1.0,36,0.0650994575045208
13,0,Che gelida manina,test,47,849,849,0,1.0,47,0.05535924617196702
13,1,E lucevan le stelle,train,164,2559,2559,0,1.0,164,0.06408753419304415
13,1,E lucevan le stelle,dev,41,614,614,0,1.0,41,0.06677524429967427
13,1,E lucevan le stelle,test,22,283,283,0,1.0,22,0.07773851590106007
13,2,Nessun dorma,train,140,2313,2313,0,1.0,140,0.06052745352356247
13,2,Nessun dorma,dev,35,537,537,0,1.0,35,0.06517690875232775
13,2,Nessun dorma,test,52,606,606,0,1.0,52,0.0858085808580858
13,3,Una furtiva lagrima,train,129,1789,1789,0,1.0,129,0.07210732252655115
13,3,Una furtiva lagrima,dev,33,436,436,0,1.0,33,0.07568807339449542
13,3,Una furtiva lagrima,test,65,1231,1231,0,1.0,65,0.05280259951259139
13,4,Vesti la giubba,train,164,2562,2562,0,1.0,164,0.06401249024199844
13,4,Vesti la giubba,dev,42,632,632,0,1.0,42,0.06645569620253164
13,4,Vesti la giubba,test,21,262,262,0,1.0,21,0.08015267175572519
13,5,La donna e mobile,train,165,2566,2566,0,1.0,165,0.06430241621200312
13,5,La donna e mobile,dev,42,665,665,0,1.0,42,0.06315789473684211
13,5,La donna e mobile,test,20,225,225,0,1.0,20,0.08888888888888889
14,0,Che gelida manina,train,144,2054,2054,0,1.0,144,0.07010710808179163
14,0,Che gelida manina,dev,36,553,553,0,1.0,36,0.0650994575045208
14,0,Che gelida manina,test,47,849,849,0,1.0,47,0.05535924617196702
14,1,E lucevan le stelle,train,164,2559,2559,0,1.0,164,0.06408753419304415
14,1,E lucevan le stelle,dev,41,614,614,0,1.0,41,0.06677524429967427
14,1,E lucevan le stelle,test,22,283,283,0,1.0,22,0.07773851590106007
14,2,Nessun dorma,train,140,2313,2313,0,1.0,140,0.06052745352356247
14,2,Nessun dorma,dev,35,537,537,0,1.0,35,0.06517690875232775
14,2,Nessun dorma,test,52,606,606,0,1.0,52,0.0858085808580858
14,3,Una furtiva lagrima,train,129,1789,1789,0,1.0,129,0.07210732252655115
14,3,Una furtiva lagrima,dev,33,436,436,0,1.0,33,0.07568807339449542
14,3,Una furtiva lagrima,test,65,1231,1231,0,1.0,65,0.05280259951259139
14,4,Vesti la giubba,train,164,2562,2562,0,1.0,164,0.06401249024199844
14,4,Vesti la giubba,dev,42,632,632,0,1.0,42,0.06645569620253164
14,4,Vesti la giubba,test,21,262,262,0,1.0,21,0.08015267175572519
14,5,La donna e mobile,train,165,2566,2566,0,1.0,165,0.06430241621200312
14,5,La donna e mobile,dev,42,665,665,0,1.0,42,0.06315789473684211
14,5,La donna e mobile,test,20,225,225,0,1.0,20,0.08888888888888889
15,0,Che gelida manina,train,144,2054,2054,0,1.0,144,0.07010710808179163
15,0,Che gelida manina,dev,36,553,553,0,1.0,36,0.0650994575045208
15,0,Che gelida manina,test,47,849,849,0,1.0,47,0.05535924617196702
15,1,E lucevan le stelle,train,164,2559,2559,0,1.0,164,0.06408753419304415
15,1,E lucevan le stelle,dev,41,614,614,0,1.0,41,0.06677524429967427
15,1,E lucevan le stelle,test,22,283,283,0,1.0,22,0.07773851590106007
15,2,Nessun dorma,train,140,2313,2313,0,1.0,140,0.06052745352356247
15,2,Nessun dorma,dev,35,537,537,0,1.0,35,0.06517690875232775
15,2,Nessun dorma,test,52,606,606,0,1.0,52,0.0858085808580858
15,3,Una furtiva lagrima,train,129,1789,1789,0,1.0,129,0.07210732252655115
15,3,Una furtiva lagrima,dev,33,436,436,0,1.0,33,0.07568807339449542
15,3,Una furtiva lagrima,test,65,1231,1231,0,1.0,65,0.05280259951259139
15,4,Vesti la giubba,train,164,2562,2562,0,1.0,164,0.06401249024199844
15,4,Vesti la giubba,dev,42,632,632,0,1.0,42,0.06645569620253164
15,4,Vesti la giubba,test,21,262,262,0,1.0,21,0.08015267175572519
15,5,La donna e mobile,train,165,2566,2566,0,1.0,165,0.06430241621200312
15,5,La donna e mobile,dev,42,665,665,0,1.0,42,0.06315789473684211
15,5,La donna e mobile,test,20,225,225,0,1.0,20,0.08888888888888889
16,0,Che gelida manina,train,144,2054,2054,0,1.0,144,0.07010710808179163
16,0,Che gelida manina,dev,36,553,553,0,1.0,36,0.0650994575045208
16,0,Che gelida manina,test,47,849,849,0,1.0,47,0.05535924617196702
16,1,E lucevan le stelle,train,164,2559,2559,0,1.0,164,0.06408753419304415
16,1,E lucevan le stelle,dev,41,614,614,0,1.0,41,0.06677524429967427
16,1,E lucevan le stelle,test,22,283,283,0,1.0,22,0.07773851590106007
16,2,Nessun dorma,train,140,2313,2313,0,1.0,140,0.06052745352356247
16,2,Nessun dorma,dev,35,537,537,0,1.0,35,0.06517690875232775
16,2,Nessun dorma,test,52,606,606,0,1.0,52,0.0858085808580858
16,3,Una furtiva lagrima,train,129,1789,1789,0,1.0,129,0.07210732252655115
16,3,Una furtiva lagrima,dev,33,436,436,0,1.0,33,0.07568807339449542
16,3,Una furtiva lagrima,test,65,1231,1231,0,1.0,65,0.05280259951259139
16,4,Vesti la giubba,train,164,2562,2562,0,1.0,164,0.06401249024199844
16,4,Vesti la giubba,dev,42,632,632,0,1.0,42,0.06645569620253164
16,4,Vesti la giubba,test,21,262,262,0,1.0,21,0.08015267175572519
16,5,La donna e mobile,train,165,2566,2566,0,1.0,165,0.06430241621200312
16,5,La donna e mobile,dev,42,665,665,0,1.0,42,0.06315789473684211
16,5,La donna e mobile,test,20,225,225,0,1.0,20,0.08888888888888889
17,0,Che gelida manina,train,144,2054,2054,0,1.0,144,0.07010710808179163
17,0,Che gelida manina,dev,36,553,553,0,1.0,36,0.0650994575045208
17,0,Che gelida manina,test,47,849,849,0,1.0,47,0.05535924617196702
17,1,E lucevan le stelle,train,164,2559,2559,0,1.0,164,0.06408753419304415
17,1,E lucevan le stelle,dev,41,614,614,0,1.0,41,0.06677524429967427
17,1,E lucevan le stelle,test,22,283,283,0,1.0,22,0.07773851590106007
17,2,Nessun dorma,train,140,2313,2313,0,1.0,140,0.06052745352356247
17,2,Nessun dorma,dev,35,537,537,0,1.0,35,0.06517690875232775
17,2,Nessun dorma,test,52,606,606,0,1.0,52,0.0858085808580858
17,3,Una furtiva lagrima,train,129,1789,1789,0,1.0,129,0.07210732252655115
17,3,Una furtiva lagrima,dev,33,436,436,0,1.0,33,0.07568807339449542
17,3,Una furtiva lagrima,test,65,1231,1231,0,1.0,65,0.05280259951259139
17,4,Vesti la giubba,train,164,2562,2562,0,1.0,164,0.06401249024199844
17,4,Vesti la giubba,dev,42,632,632,0,1.0,42,0.06645569620253164
17,4,Vesti la giubba,test,21,262,262,0,1.0,21,0.08015267175572519
17,5,La donna e mobile,train,165,2566,2566,0,1.0,165,0.06430241621200312
17,5,La donna e mobile,dev,42,665,665,0,1.0,42,0.06315789473684211
17,5,La donna e mobile,test,20,225,225,0,1.0,20,0.08888888888888889
18,0,Che gelida manina,train,144,2054,2054,0,1.0,144,0.07010710808179163
18,0,Che gelida manina,dev,36,553,553,0,1.0,36,0.0650994575045208
18,0,Che gelida manina,test,47,849,849,0,1.0,47,0.05535924617196702
18,1,E lucevan le stelle,train,164,2559,2559,0,1.0,164,0.06408753419304415
18,1,E lucevan le stelle,dev,41,614,614,0,1.0,41,0.06677524429967427
18,1,E lucevan le stelle,test,22,283,283,0,1.0,22,0.07773851590106007
18,2,Nessun dorma,train,140,2313,2313,0,1.0,140,0.06052745352356247
18,2,Nessun dorma,dev,35,537,537,0,1.0,35,0.06517690875232775
18,2,Nessun dorma,test,52,606,606,0,1.0,52,0.0858085808580858
18,3,Una furtiva lagrima,train,129,1789,1789,0,1.0,129,0.07210732252655115
18,3,Una furtiva lagrima,dev,33,436,436,0,1.0,33,0.07568807339449542
18,3,Una furtiva lagrima,test,65,1231,1231,0,1.0,65,0.05280259951259139
18,4,Vesti la giubba,train,164,2562,2562,0,1.0,164,0.06401249024199844
18,4,Vesti la giubba,dev,42,632,632,0,1.0,42,0.06645569620253164
18,4,Vesti la giubba,test,21,262,262,0,1.0,21,0.08015267175572519
18,5,La donna e mobile,train,165,2566,2566,0,1.0,165,0.06430241621200312
18,5,La donna e mobile,dev,42,665,665,0,1.0,42,0.06315789473684211
18,5,La donna e mobile,test,20,225,225,0,1.0,20,0.08888888888888889
19,0,Che gelida manina,train,144,2054,2054,0,1.0,144,0.07010710808179163
19,0,Che gelida manina,dev,36,553,553,0,1.0,36,0.0650994575045208
19,0,Che gelida manina,test,47,849,849,0,1.0,47,0.05535924617196702
19,1,E lucevan le stelle,train,164,2559,2559,0,1.0,164,0.06408753419304415
19,1,E lucevan le stelle,dev,41,614,614,0,1.0,41,0.06677524429967427
19,1,E lucevan le stelle,test,22,283,283,0,1.0,22,0.07773851590106007
19,2,Nessun dorma,train,140,2313,2313,0,1.0,140,0.06052745352356247
19,2,Nessun dorma,dev,35,537,537,0,1.0,35,0.06517690875232775
19,2,Nessun dorma,test,52,606,606,0,1.0,52,0.0858085808580858
19,3,Una furtiva lagrima,train,129,1789,1789,0,1.0,129,0.07210732252655115
19,3,Una furtiva lagrima,dev,33,436,436,0,1.0,33,0.07568807339449542
